"fecha";"demdia";"sab";"dom";"lun";"tem";"tem2";"ret1";"ret2";"ret7";"fest_08_15";"fest_10_12";"fest_10_13";"fest_11_01";"fest_11_02";"fest_12_06";"fest_12_08";"fest_12_26";"fest_01_06";"fest_01_07"
20220601;6.4998;0;0;0;29.09;846.2281;6.4998;6.4998;6.4998;0;0;0;0;0;0;0;0;0;0
20220602;6.5088;0;0;0;28.51;812.8201;6.4998;6.4998;6.5088;0;0;0;0;0;0;0;0;0;0
20220603;6.5058;0;0;0;27.99;783.4401;6.5088;6.4998;6.5058;0;0;0;0;0;0;0;0;0;0
20220604;6.3869;1;0;0;27.19;739.2961;6.5058;6.5088;6.3869;0;0;0;0;0;0;0;0;0;0
20220605;6.3099;0;1;0;29.26;856.1476;6.3869;6.5058;6.3099;0;0;0;0;0;0;0;0;0;0
20220606;6.4457;0;0;1;30.19;911.4361;6.3099;6.3869;6.4457;0;0;0;0;0;0;0;0;0;0
20220607;6.5177;0;0;0;31.33;981.5689;6.4457;6.3099;6.5177;0;0;0;0;0;0;0;0;0;0
20220608;6.5294;0;0;0;29.97;898.2009;6.5177;6.4457;6.4998;0;0;0;0;0;0;0;0;0;0
20220609;6.5367;0;0;0;30.41;924.7681;6.5294;6.5177;6.5088;0;0;0;0;0;0;0;0;0;0
20220610;6.5425;0;0;0;31.78;1009.9684;6.5367;6.5294;6.5058;0;0;0;0;0;0;0;0;0;0
20220611;6.4568;1;0;0;32.26;1040.7076;6.5425;6.5367;6.3869;0;0;0;0;0;0;0;0;0;0
20220612;6.3818;0;1;0;33.18;1100.9124;6.4568;6.5425;6.3099;0;0;0;0;0;0;0;0;0;0
20220613;6.5667;0;0;1;33.91;1149.8881;6.3818;6.4568;6.4457;0;0;0;0;0;0;0;0;0;0
20220614;6.6294;0;0;0;35.23;1241.1529;6.5667;6.3818;6.5177;0;0;0;0;0;0;0;0;0;0
20220615;6.6542;0;0;0;35.59;1266.6481;6.6294;6.5667;6.5294;0;0;0;0;0;0;0;0;0;0
20220616;6.6477;0;0;0;35.68;1273.0624;6.6542;6.6294;6.5367;0;0;0;0;0;0;0;0;0;0
20220617;6.6425;0;0;0;37.54;1409.2516;6.6477;6.6542;6.5425;0;0;0;0;0;0;0;0;0;0
20220618;6.5191;1;0;0;35.6;1267.36;6.6425;6.6477;6.4568;0;0;0;0;0;0;0;0;0;0
20220619;6.3852;0;1;0;30.77;946.7929;6.5191;6.6425;6.3818;0;0;0;0;0;0;0;0;0;0
20220620;6.5554;0;0;1;28.98;839.8404;6.3852;6.5191;6.5667;0;0;0;0;0;0;0;0;0;0
