tiempo	longitud	resolucion	navegador	alumno
139.45	7.0	360	1	A
137.92	5.0	360	2	C
135.24	9.1	360	3	M
163.94	9.5	360	1	P
154.81	7.5	360	2	A
155.32	9.7	360	3	C
152.81	7.2	360	1	M
166.63	9.2	360	2	P
165.62	5.5	480	3	A
162.93	5.0	480	1	C
202.99	8.6	480	2	M
177.72	9.8	480	3	P
190.70	7.6	480	1	A
192.09	6.2	480	2	C
159.71	6.5	480	3	M
199.80	7.3	480	1	P
258.53	5.9	720	2	A
224.89	5.0	720	3	C
263.56	8.8	720	1	M
254.27	8.6	720	2	P
253.58	8.9	720	3	A
275.12	7.5	720	1	C
249.57	6.5	720	2	M
270.33	8.8	720	3	P
250.96	5.9	720	1	A
249.89	7.5	720	2	C
264.26	6.6	720	3	M
245.37	6.9	720	1	P
253.08	5.8	720	2	A
250.54	6.8	720	3	C
249.56	7.4	720	1	M
267.69	9.3	720	2	P
249.61	6.0	720	3	A
251.58	7.3	720	1	C
252.77	5.7	720	2	M
265.32	10.0	720	3	P
250.87	5.7	720	1	A
238.23	5.5	720	2	C
273.72	9.8	720	3	M
279.03	9.8	720	1	P
262.04	9.8	720	2	A
235.85	5.6	720	3	C
252.66	9.4	720	1	M
253.54	5.8	720	2	P
261.01	9.2	720	3	A
240.10	5.5	720	1	C
267.86	6.8	720	2	M
235.92	6.4	720	3	P
259.40	5.9	720	1	A
258.83	7.5	720	2	C
240.48	7.2	720	3	M
240.72	6.6	720	1	P
239.80	5.4	720	2	A
259.50	7.8	720	3	C
274.63	8.5	720	1	M
235.51	5.1	720	2	P
246.39	8.4	720	3	A
226.99	5.7	720	1	C
263.43	9.9	720	2	M
228.96	5.9	720	3	P
