Full_car_name;Fuel_type;Total_consumption;Power_(HP);Displacement_(ccm);Vehicle_tax_/_year_(may_vary_due_to_WLTP_conversion);CO2_efficiency_class;Engine_type;Maximum_output_in_kW_(system_output);Maximum_output_in_PS_(system_output);Torque_(system_performance);Number_of_gears;Number_of_cylinders_(combustion_engine);Number_of_valves_(combustion_engine);Displacement_(combustion_engine);Maximum_power_at_rpm._(Combustion_engine);Maximum_torque_at_rpm._(Combustion_engine);Length_(mm);Width_(mm);Height_(mm);Luggage__volume_normal;Curb_weight_(kg);Gross_weight_(kg);Payload_(kg);Body_type;Number_of_doors;Number_of_seats_normal;Acceleration_(s);Top_speed_(km/h);CO2_emissions_(NEFZ);Gas_tank_size
BMW_316i_Automatic;Super;8.7;102;1596;98 Euro;G;Otto;75;102;150;4;4;2;1596;5500;3900;4433;1698;1393;435;1275;1735;460;Stufenheck;4;5;15.2 ;189;208;62.0 
BMW_316i_Comfort_Edition;Super;7.8;102;1596;98 Euro;G;Otto;75;102;150;5;4;2;1596;5500;3900;4433;1698;1393;435;1235;1695;460;Stufenheck;4;5;12.7 ;195;185;62.0 
BMW_316i_Comfort_Edition_Automatic;Super;8.7;102;1596;98 Euro;G;Otto;75;102;150;4;4;2;1596;5500;3900;4433;1698;1393;435;1275;1735;460;Stufenheck;4;5;15.2 ;189;208;62.0 
BMW_316i_Sport_Edition;Super;7.8;102;1596;98 Euro;G;Otto;75;102;150;5;4;2;1596;5500;3900;4433;1698;1393;435;1235;1695;460;Stufenheck;4;5;12.7 ;195;185;62.0 
BMW_316i_Sport_Edition_Automatic;Super;8.7;102;1596;98 Euro;G;Otto;75;102;150;4;4;2;1596;5500;3900;4433;1698;1393;435;1275;1735;460;Stufenheck;4;5;15.2 ;189;208;62.0 
BMW_316i_Exclusiv_Edition;Super;7.8;102;1596;98 Euro;G;Otto;75;102;150;5;4;2;1596;5500;3900;4433;1698;1393;435;1235;1695;460;Stufenheck;4;5;12.7 ;195;185;62.0 
BMW_316i_Exclusiv_Edition_Automatic;Super;8.7;102;1596;98 Euro;G;Otto;75;102;150;4;4;2;1596;5500;3900;4433;1698;1393;435;1275;1735;460;Stufenheck;4;5;15.2 ;189;208;62.0 
BMW_318i_Automatic;Super;9.0;115;1796;110 Euro;G;Otto;85;115;168;4;4;2;1796;5500;3900;4433;1698;1393;435;1275;1735;460;Stufenheck;4;5;12.4 ;198;213;62.0 
BMW_318i_Comfort_Edition;Super;8.0;115;1796;110 Euro;G;Otto;85;115;168;5;4;2;1796;5500;3900;4433;1698;1393;435;1235;1695;460;Stufenheck;4;5;11.3 ;201;189;62.0 
BMW_318i_Comfort_Edition_Automatic;Super;9.0;115;1796;110 Euro;G;Otto;85;115;168;4;4;2;1796;5500;3900;4433;1698;1393;435;1275;1735;460;Stufenheck;4;5;12.4 ;198;213;62.0 
BMW_318i_Sport_Edition;Super;8.0;115;1796;110 Euro;G;Otto;85;115;168;5;4;2;1796;5500;3900;4433;1698;1393;435;1235;1695;460;Stufenheck;4;5;11.3 ;201;189;62.0 
BMW_318i_Sport_Edition_Automatic;Super;9.0;115;1796;110 Euro;G;Otto;85;115;168;4;4;2;1796;5500;3900;4433;1698;1393;435;1275;1735;460;Stufenheck;4;5;12.4 ;198;213;62.0 
BMW_318i_Exclusiv_Edition;Super;8.0;115;1796;110 Euro;G;Otto;85;115;168;5;4;2;1796;5500;3900;4433;1698;1393;435;1235;1695;460;Stufenheck;4;5;11.3 ;201;189;62.0 
BMW_318i_Exclusiv_Edition_Automatic;Super;9.0;115;1796;110 Euro;G;Otto;85;115;168;4;4;2;1796;5500;3900;4433;1698;1393;435;1275;1735;460;Stufenheck;4;5;12.4 ;198;213;62.0 
BMW_320i_;Super;9.0;150;1991;122 Euro;G;Otto;110;150;190;5;6;4;1991;5900;3500;4433;1698;1393;435;1300;1760;460;Stufenheck;4;5;9.9 ;214;213;62.0 
BMW_320i_Automatic;Super;10.0;150;1991;122 Euro;G;Otto;110;150;190;5;6;4;1991;5900;3500;4433;1698;1393;435;1325;1795;470;Stufenheck;4;5;10.7 ;210;238;62.0 
BMW_320i_Comfort_Edition;Super;9.0;150;1991;122 Euro;G;Otto;110;150;190;5;6;4;1991;5900;3500;4433;1698;1393;435;1300;1760;460;Stufenheck;4;5;9.9 ;214;213;62.0 
BMW_320i_Comfort_Edition_Automatic;Super;10.0;150;1991;122 Euro;G;Otto;110;150;190;5;6;4;1991;5900;3500;4433;1698;1393;435;1325;1795;470;Stufenheck;4;5;10.7 ;210;238;62.0 
BMW_320i_Sport_Edition;Super;9.0;150;1991;122 Euro;G;Otto;110;150;190;5;6;4;1991;5900;3500;4433;1698;1393;435;1300;1760;460;Stufenheck;4;5;9.9 ;214;213;62.0 
BMW_320i_Sport_Edition_Automatic;Super;10.0;150;1991;122 Euro;G;Otto;110;150;190;5;6;4;1991;5900;3500;4433;1698;1393;435;1325;1795;470;Stufenheck;4;5;10.7 ;210;238;62.0 
BMW_320i_Exclusiv_Edition;Super;9.0;150;1991;122 Euro;G;Otto;110;150;190;5;6;4;1991;5900;3500;4433;1698;1393;435;1300;1760;460;Stufenheck;4;5;9.9 ;214;213;62.0 
BMW_320i_Exclusiv_Edition_Automatic;Super;10.0;150;1991;122 Euro;G;Otto;110;150;190;5;6;4;1991;5900;3500;4433;1698;1393;435;1325;1795;470;Stufenheck;4;5;10.7 ;210;238;62.0 
BMW_323i_;Super;9.0;170;2494;153 Euro;G;Otto;125;170;245;5;6;4;2494;5500;3950;4433;1698;1393;435;1310;1770;460;Stufenheck;4;5;8.0 ;227;213;62.0 
BMW_323i_Automatic;Super;10.0;170;2494;153 Euro;G;Otto;125;170;245;5;6;4;2494;5500;3950;4433;1698;1393;435;1345;1805;460;Stufenheck;4;5;9.0 ;223;238;62.0 
BMW_323i_Comfort_Edition;Super;9.0;170;2494;153 Euro;G;Otto;125;170;245;5;6;4;2494;5500;3950;4433;1698;1393;435;1310;1770;460;Stufenheck;4;5;8.0 ;227;213;62.0 
BMW_323i_Comfort_Edition_Automatic;Super;10.0;170;2494;153 Euro;G;Otto;125;170;245;5;6;4;2494;5500;3950;4433;1698;1393;435;1345;1805;460;Stufenheck;4;5;9.0 ;223;238;62.0 
BMW_323i_Sport_Edition;Super;9.0;170;2494;153 Euro;G;Otto;125;170;245;5;6;4;2494;5500;3950;4433;1698;1393;435;1310;1770;460;Stufenheck;4;5;8.0 ;227;213;62.0 
BMW_323i_Sport_Edition_Automatic;Super;10.0;170;2494;153 Euro;G;Otto;125;170;245;5;6;4;2494;5500;3950;4433;1698;1393;435;1345;1805;460;Stufenheck;4;5;9.0 ;223;238;62.0 
BMW_323i_Exclusiv_Edition;Super;9.0;170;2494;153 Euro;G;Otto;125;170;245;5;6;4;2494;5500;3950;4433;1698;1393;435;1310;1770;460;Stufenheck;4;5;8.0 ;227;213;62.0 
BMW_323i_Exclusiv_Edition_Automatic;Super;10.0;170;2494;153 Euro;G;Otto;125;170;245;5;6;4;2494;5500;3950;4433;1698;1393;435;1345;1805;460;Stufenheck;4;5;9.0 ;223;238;62.0 
BMW_325i_;Super;9.2;192;2494;168 Euro;G;Otto;141;192;245;5;6;4;2494;6000;4700;4433;1698;1393;435;1320;1780;460;Stufenheck;4;5;8.0 ;230;218;62.0 
BMW_328i_;Super;9.2;193;2793;171 Euro;G;Otto;142;193;280;5;6;4;2793;5300;3950;4433;1698;1393;435;1320;1780;460;Stufenheck;4;5;7.3 ;236;218;62.0 
BMW_328i_Automatic;Super;10.1;193;2793;171 Euro;G;Otto;142;193;280;5;6;4;2793;5300;3950;4433;1698;1393;435;1355;1815;460;Stufenheck;4;5;7.9 ;231;240;62.0 
BMW_328i_Comfort_Edition;Super;9.2;193;2793;171 Euro;G;Otto;142;193;280;5;6;4;2793;5300;3950;4433;1698;1393;435;1320;1780;460;Stufenheck;4;5;7.3 ;236;218;62.0 
BMW_328i_Comfort_Edition_Automatic;Super;10.1;193;2793;171 Euro;G;Otto;142;193;280;5;6;4;2793;5300;3950;4433;1698;1393;435;1355;1815;460;Stufenheck;4;5;7.9 ;231;240;62.0 
BMW_328i_Sport_Edition;Super;9.2;193;2793;171 Euro;G;Otto;142;193;280;5;6;4;2793;5300;3950;4433;1698;1393;435;1320;1780;460;Stufenheck;4;5;7.3 ;236;218;62.0 
BMW_328i_Sport_Edition_Automatic;Super;10.1;193;2793;171 Euro;G;Otto;142;193;280;5;6;4;2793;5300;3950;4433;1698;1393;435;1355;1815;460;Stufenheck;4;5;7.9 ;231;240;62.0 
BMW_328i_Exclusiv_Edition;Super;9.2;193;2793;171 Euro;G;Otto;142;193;280;5;6;4;2793;5300;3950;4433;1698;1393;435;1320;1780;460;Stufenheck;4;5;7.3 ;236;218;62.0 
BMW_328i_Exclusiv_Edition_Automatic;Super;10.1;193;2793;171 Euro;G;Otto;142;193;280;5;6;4;2793;5300;3950;4433;1698;1393;435;1355;1815;460;Stufenheck;4;5;7.9 ;231;240;62.0 
BMW_318tds_kat_;Diesel;6.5;90;1665;252 Euro;F;Diesel;66;90;190;5;4;2;1665;4400;2000;4433;1698;1393;435;1280;1740;460;Stufenheck;4;5;14.4 ;182;173;62.0 
BMW_318tds_kat_Comfort_Edition;Diesel;6.5;90;1665;252 Euro;F;Diesel;66;90;190;5;4;2;1665;4400;2000;4433;1698;1393;435;1280;1740;460;Stufenheck;4;5;14.4 ;182;173;62.0 
BMW_318tds_kat_Sport_Edition;Diesel;6.5;90;1665;252 Euro;F;Diesel;66;90;190;5;4;2;1665;4400;2000;4433;1698;1393;435;1280;1740;460;Stufenheck;4;5;14.4 ;182;173;62.0 
BMW_318tds_kat_Exclusiv_Edition;Diesel;6.5;90;1665;252 Euro;F;Diesel;66;90;190;5;4;2;1665;4400;2000;4433;1698;1393;435;1280;1740;460;Stufenheck;4;5;14.4 ;182;173;62.0 
BMW_325td_kat_;Diesel;7.4;115;2497;370 Euro;G;Diesel;85;115;222;5;6;2;2497;4800;1900;4433;1698;1393;435;1355;1815;460;Stufenheck;4;5;12.0 ;198;195;62.0 
BMW_325td_kat_Automatic;Diesel;8.7;115;2497;370 Euro;G;Diesel;85;115;222;4;6;2;2497;4800;1900;4433;1698;1393;435;1390;1850;460;Stufenheck;4;5;12.5 ;196;229;62.0 
BMW_325td_kat_Comfort_Edition;Diesel;7.4;115;2497;370 Euro;G;Diesel;85;115;222;5;6;2;2497;4800;1900;4433;1698;1393;435;1355;1815;460;Stufenheck;4;5;12.0 ;198;195;62.0 
BMW_325td_kat_Comfort_Edition_Automatic;Diesel;8.7;115;2497;370 Euro;G;Diesel;85;115;222;4;6;2;2497;4800;1900;4433;1698;1393;435;1390;1850;460;Stufenheck;4;5;12.5 ;196;229;62.0 
BMW_325td_kat_Sport_Edition;Diesel;7.4;115;2497;370 Euro;G;Diesel;85;115;222;5;6;2;2497;4800;1900;4433;1698;1393;435;1355;1815;460;Stufenheck;4;5;12.0 ;198;195;62.0 
BMW_325td_kat_Sport_Edition_Automatic;Diesel;8.7;115;2497;370 Euro;G;Diesel;85;115;222;4;6;2;2497;4800;1900;4433;1698;1393;435;1390;1850;460;Stufenheck;4;5;12.5 ;196;229;62.0 
BMW_325td_kat_Exclusiv_Edition;Diesel;7.4;115;2497;370 Euro;G;Diesel;85;115;222;5;6;2;2497;4800;1900;4433;1698;1393;435;1355;1815;460;Stufenheck;4;5;12.0 ;198;195;62.0 
BMW_325td_kat_Exclusiv_Edition_Automatic;Diesel;8.7;115;2497;370 Euro;G;Diesel;85;115;222;4;6;2;2497;4800;1900;4433;1698;1393;435;1390;1850;460;Stufenheck;4;5;12.5 ;196;229;62.0 
BMW_325tds_kat_;Diesel;7.3;143;2497;370 Euro;G;Diesel;105;143;280;5;6;2;2497;4600;2200;4433;1698;1393;435;1365;1825;460;Stufenheck;4;5;10.4 ;214;193;62.0 
BMW_325tds_kat_Automatic;Diesel;8.6;143;2497;370 Euro;G;Diesel;105;143;280;5;6;2;2497;4600;2200;4433;1698;1393;435;1400;1860;460;Stufenheck;4;5;10.8 ;211;227;62.0 
BMW_325tds_kat_Comfort_Edition;Diesel;7.3;143;2497;370 Euro;G;Diesel;105;143;280;5;6;2;2497;4600;2200;4433;1698;1393;435;1365;1825;460;Stufenheck;4;5;10.4 ;214;193;62.0 
BMW_325tds_kat_Comfort_Edition_Automatic;Diesel;8.6;143;2497;370 Euro;G;Diesel;105;143;280;5;6;2;2497;4600;2200;4433;1698;1393;435;1400;1860;460;Stufenheck;4;5;10.9 ;212;227;62.0 
BMW_325tds_kat_Sport_Edition;Diesel;7.3;143;2497;370 Euro;G;Diesel;105;143;280;5;6;2;2497;4600;2200;4433;1698;1393;435;1365;1825;460;Stufenheck;4;5;10.4 ;214;193;62.0 
BMW_325tds_kat_Sport_Edition_Automatic;Diesel;8.6;143;2497;370 Euro;G;Diesel;105;143;280;5;6;2;2497;4600;2200;4433;1698;1393;435;1400;1860;460;Stufenheck;4;5;10.9 ;212;227;62.0 
BMW_325tds_kat_Exclusiv_Edition;Diesel;7.3;143;2497;370 Euro;G;Diesel;105;143;280;5;6;2;2497;4600;2200;4433;1698;1393;435;1365;1825;460;Stufenheck;4;5;10.4 ;214;193;62.0 
BMW_325tds_kat_Exclusiv_Edition_Automatic;Diesel;8.6;143;2497;370 Euro;G;Diesel;105;143;280;5;6;2;2497;4600;2200;4433;1698;1393;435;1400;1860;460;Stufenheck;4;5;10.9 ;212;227;62.0 
BMW_316i_Touring_Comfort_Edition;Super;8.1;102;1596;98 Euro;G;Otto;75;102;150;5;4;2;1596;5500;3900;4433;1698;1391;370;1355;1780;425;Kombi;5;5;13.2 ;191;191;62.0 
BMW_316i_Touring_Comfort_Edition_Automatic;Super;9.0;102;1596;98 Euro;G;Otto;75;102;150;4;4;2;1596;5500;3900;4433;1698;1391;370;1395;1820;425;Kombi;5;5;15.7 ;185;214;62.0 
BMW_316i_Touring_Sport_Edition;Super;8.1;102;1596;98 Euro;G;Otto;75;102;150;5;4;2;1596;5500;3900;4433;1698;1391;370;1355;1780;425;Kombi;5;5;13.2 ;191;191;62.0 
BMW_316i_Touring_Sport_Edition_Automatic;Super;9.0;102;1596;98 Euro;G;Otto;75;102;150;4;4;2;1596;5500;3900;4433;1698;1391;370;1395;1820;425;Kombi;5;5;15.7 ;185;214;62.0 
BMW_316i_Touring_Exclusiv_Edition;Super;8.1;102;1596;98 Euro;G;Otto;75;102;150;5;4;2;1596;5500;3900;4433;1698;1391;370;1355;1780;425;Kombi;5;5;13.2 ;191;191;62.0 
BMW_316i_Touring_Exclusiv_Edition_Automatic;Super;9.0;102;1596;98 Euro;G;Otto;75;102;150;4;4;2;1596;5500;3900;4433;1698;1391;370;1395;1820;425;Kombi;5;5;15.7 ;185;214;62.0 
BMW_318i_Touring_Comfort_Edition;Super;8.1;115;1796;110 Euro;G;Otto;85;115;168;5;4;2;1796;5500;3900;4433;1698;1391;370;1355;1780;425;Kombi;5;5;11.7 ;197;192;62.0 
BMW_318i_Touring_Comfort_Edition_Automatic;Super;9.1;115;1796;110 Euro;G;Otto;85;115;168;4;4;2;1796;5500;3900;4433;1698;1391;370;1395;1820;425;Kombi;5;5;12.8 ;194;216;62.0 
BMW_318i_Touring_Sport_Edition;Super;8.1;115;1796;110 Euro;G;Otto;85;115;168;5;4;2;1796;5500;3900;4433;1698;1391;370;1355;1780;425;Kombi;5;5;11.7 ;197;192;62.0 
BMW_318i_Touring_Sport_Edition_Automatic;Super;9.1;115;1796;110 Euro;G;Otto;85;115;168;4;4;2;1796;5500;3900;4433;1698;1391;370;1395;1820;425;Kombi;5;5;12.8 ;194;216;62.0 
BMW_318i_Touring_Exclusiv_Edition;Super;8.1;115;1796;110 Euro;G;Otto;85;115;168;5;4;2;1796;5500;3900;4433;1698;1391;370;1355;1780;425;Kombi;5;5;11.7 ;197;192;62.0 
BMW_318i_Touring_Exclusiv_Edition_Automatic;Super;9.1;115;1796;110 Euro;G;Otto;85;115;168;4;4;2;1796;5500;3900;4433;1698;1391;370;1395;1820;425;Kombi;5;5;12.8 ;194;216;62.0 
BMW_320i_Touring_Comfort_Edition;Super;9.1;150;1991;122 Euro;G;Otto;110;150;190;5;6;4;1991;5900;3500;4433;1698;1391;370;1420;1845;425;Kombi;5;5;10.2 ;212;215;62.0 
BMW_320i_Touring_Comfort_Edition_Automatic;Super;10.1;150;1991;122 Euro;G;Otto;110;150;190;5;6;4;1991;5900;3500;4433;1698;1391;370;1445;1880;435;Kombi;5;5;11.0 ;208;240;62.0 
BMW_320i_Touring_Sport_Edition;Super;9.1;150;1991;122 Euro;G;Otto;110;150;190;5;6;4;1991;5900;3500;4433;1698;1391;370;1420;1845;425;Kombi;5;5;10.2 ;212;215;62.0 
