name	syct	mmin	mmax	cach	chmin	chmax	perf	estperf
ADVISOR_32/60	125	256	6000	256	16	128	198	199
AMDAHL_470V/7	29	8000	32000	32	8	32	269	253
AMDAHL_470/7A	29	8000	32000	32	8	32	220	253
AMDAHL_470V/7B	29	8000	32000	32	8	32	172	253
AMDAHL_470V/7C	29	8000	16000	32	8	16	132	132
AMDAHL_470V/8	26	8000	32000	64	8	32	318	290
AMDAHL_580-5840	23	16000	32000	64	16	32	367	381
AMDAHL_580-5850	23	16000	32000	64	16	32	489	381
AMDAHL_580-5860	23	16000	64000	64	16	32	636	749
AMDAHL_580_5880	23	32000	64000	128	32	64	1144	1238
APOLLO_DN320	400	1000	3000	0	1	2	38	23
APOLLO_DN420	400	512	3500	4	1	6	40	24
BASF_7/65	60	2000	8000	65	1	8	92	70
BASF_7/68	50	4000	16000	65	1	8	138	117
BTI_5000	350	64	64	0	1	4	10	15
BTI_8000	200	512	16000	0	4	32	35	64
BURROUGHS_B1955	167	524	2000	8	4	15	19	23
BURROUGHS_B2900	143	512	5000	0	7	32	28	29
BURROUGHS_B2925	143	1000	2000	0	5	16	31	22
BURROUGHS_B4955	110	5000	5000	142	8	64	120	124
BURROUGHS_B5900	143	1500	6300	0	5	32	30	35
BURROUGHS_B5920	143	3100	6200	0	5	20	33	39
BURROUGHS_B6900	143	2300	6200	0	6	64	61	40
BURROUGHS_B6925	110	3100	6200	0	6	64	76	45
C.R.D._68/10-80	320	128	6000	0	1	12	23	28
C.R.D._UNIVERSE_2203T	320	512	2000	4	1	3	69	21
C.R.D._UNIVERSE_68	320	256	6000	0	1	6	33	28
C.R.D._UNIVERSE_68/05	320	256	3000	4	1	3	27	22
C.R.D._UNIVERSE_68/137	320	512	5000	4	1	5	77	28
C.R.D._UNIVERSE_68/37	320	256	5000	4	1	6	27	27
CDC_CYBER_170/750	25	1310	2620	131	12	24	274	102
CDC_CYBER_170/760	25	1310	2620	131	12	24	368	102
CDC_CYBER_170/815	50	2620	10480	30	12	24	32	74
CDC_CYBER_170/825	50	2620	10480	30	12	24	63	74
CDC_CYBER_170/835	56	5240	20970	30	12	24	106	138
CDC_CYBER_170/845	64	5240	20970	30	12	24	208	136
CDC_OMEGA_480-I	50	500	2000	8	1	4	20	23
CDC_OMEGA_480-II	50	1000	4000	8	1	5	29	29
CDC_OMEGA_480-III	50	2000	8000	8	1	5	71	44
CAMBEX_1636-1	50	1000	4000	8	3	5	26	30
CAMBEX_1636-10	50	1000	8000	8	3	5	36	41
CAMBEX_1641-1	50	2000	16000	8	3	5	40	74
CAMBEX_1641-11	50	2000	16000	8	3	6	52	74
CAMBEX_1651-1	50	2000	16000	8	3	6	60	74
DEC_DECSYS_10_1091	133	1000	12000	9	3	12	72	54
DEC_DECSYS_20_2060	133	1000	8000	9	3	12	72	41
DEC_MICROVAX-1	810	512	512	8	1	1	18	18
DEC_VAX_11/730	810	1000	5000	0	1	1	20	28
DEC_VAX_11/750	320	512	8000	4	1	5	40	36
DEC_VAX_11/780	200	512	8000	8	1	8	62	38
DG_ECLIPSE_C/350	700	384	8000	0	1	1	24	34
DG_ECLIPSE_M/600	700	256	2000	0	1	1	24	19
DG_ECLIPSE_MV/1000	140	1000	16000	16	1	3	138	72
DG_ECLIPSE_MV/4000	200	1000	8000	0	1	2	36	36
DG_ECLIPSE_MV/6000	110	1000	4000	16	1	2	26	30
DG_ECLIPSE_MV/8000	110	1000	12000	16	1	2	60	56
DG_ECLIPSE_MV/8000_II	220	1000	8000	16	1	2	71	42
FORMATION_F4000/100	800	256	8000	0	1	4	12	34
FORMATION_F4000/200	800	256	8000	0	1	4	14	34
FORMATION_F4000/200AP	800	256	8000	0	1	4	20	34
FORMATION_F4000/300	800	256	8000	0	1	4	16	34
FORMATION_F4000/300AP	800	256	8000	0	1	4	22	34
FOUR_PHASE_2000/260	125	512	1000	0	8	20	36	19
GOULD_CONCEPT_32/8705	75	2000	8000	64	1	38	144	75
GOULD_CONCEPT_32/8750	75	2000	16000	64	1	38	144	113
GOULD_CONCEPT_32/8780	75	2000	16000	128	1	38	259	157
HP_3000/30	90	256	1000	0	3	10	17	18
HP_3000/40	105	256	2000	0	3	10	26	20
HP_3000/44	105	1000	4000	0	3	24	32	28
HP_3000/48	105	2000	4000	8	3	19	32	33
HP_3000/64	75	2000	8000	8	3	24	62	47
HP_3000/88	75	3000	8000	8	3	48	64	54
HP_3000/III	175	256	2000	0	3	24	22	20
HARRIS_100	300	768	3000	0	6	24	36	23
HARRIS_300	300	768	3000	6	6	24	44	25
HARRIS_500	300	768	12000	6	6	24	50	52
HARRIS_600	300	768	4500	0	1	24	45	27
HARRIS_700	300	384	12000	6	1	24	53	50
HARRIS_80	300	192	768	6	6	24	36	18
HARRIS_800	180	768	12000	6	1	31	84	53
HONEYWELL_DPS_6/35	330	1000	3000	0	2	4	16	23
HONEYWELL_DPS_6/92	300	1000	4000	8	3	64	38	30
HONEYWELL_DPS_6/96	300	1000	16000	8	2	112	38	73
HONEYWELL_DPS_7/35	330	1000	2000	0	1	2	16	20
HONEYWELL_DPS_7/45	330	1000	4000	0	3	6	22	25
HONEYWELL_DPS_7/55	140	2000	4000	0	3	6	29	28
HONEYWELL_DPS_7/65	140	2000	4000	0	4	8	40	29
HONEYWELL_DPS_8/44	140	2000	4000	8	1	20	35	32
HONEYWELL_DPS_8/49	140	2000	32000	32	1	20	134	175
HONEYWELL_DPS_8/50	140	2000	8000	32	1	54	66	57
HONEYWELL_DPS_8/52	140	2000	32000	32	1	54	141	181
HONEYWELL_DPS_8/62	140	2000	32000	32	1	54	189	181
HONEYWELL_DPS_8/20	140	2000	4000	8	1	20	22	32
IBM_3033_S	57	4000	16000	1	6	12	132	82
IBM_3033_U	57	4000	24000	64	12	16	237	171
IBM_3081	26	16000	32000	64	16	24	465	361
IBM_3081_D	26	16000	32000	64	8	24	465	350
IBM_3083_B	26	8000	32000	0	8	24	277	220
IBM_3083_E	26	8000	16000	0	8	16	185	113
IBM_370/125-2	480	96	512	0	1	1	6	15
IBM_370/148	203	1000	2000	0	1	5	24	21
IBM_370/158-3	115	512	6000	16	1	6	45	35
IBM_38/3	1100	512	1500	0	1	1	7	18
IBM_38/4	1100	768	2000	0	1	1	13	20
IBM_38/5	600	768	2000	0	1	1	16	20
IBM_38/7	400	2000	4000	0	1	1	32	28
IBM_38/8	400	4000	8000	0	1	1	32	45
IBM_4321	900	1000	1000	0	1	2	11	18
IBM_4331-1	900	512	1000	0	1	2	11	17
IBM_4331-11	900	1000	4000	4	1	2	18	26
IBM_4331-2	900	1000	4000	8	1	2	22	28
IBM_4341	900	2000	4000	0	3	6	37	28
IBM_4341-1	225	2000	4000	8	3	6	40	31
IBM_4341-10	225	2000	4000	8	3	6	34	31
IBM_4341-11	180	2000	8000	8	1	6	50	42
IBM_4341-12	185	2000	16000	16	1	6	76	76
IBM_4341-2	180	2000	16000	16	1	6	66	76
IBM_4341-9	225	1000	4000	2	3	6	24	26
IBM_4361-4	25	2000	12000	8	1	4	49	59
IBM_4361-5	25	2000	12000	16	3	5	66	65
IBM_4381-1	17	4000	16000	8	6	12	100	101
IBM_4381-2	17	4000	16000	32	6	12	133	116
IBM_8130_A	1500	768	1000	0	0	0	12	18
IBM_8130_B	1500	768	2000	0	0	0	18	20
IBM_8140	800	768	2000	0	0	0	20	20
IPL_4436	50	2000	4000	0	3	6	27	30
IPL_4443	50	2000	8000	8	3	6	45	44
IPL_4445	50	2000	8000	8	1	6	56	44
IPL_4446	50	2000	16000	24	1	6	70	82
IPL_4460	50	2000	16000	24	1	6	80	82
IPL_4480	50	8000	16000	48	1	10	136	128
MAGNUSON_M80/30	100	1000	8000	0	2	6	16	37
MAGNUSON_M80/31	100	1000	8000	24	2	6	26	46
MAGNUSON_M80/32	100	1000	8000	24	3	6	32	46
MAGNUSON_M80/42	50	2000	16000	12	3	16	45	80
MAGNUSON_M80/43	50	2000	16000	24	6	16	54	88
MAGNUSON_M80/44	50	2000	16000	24	6	16	65	88
MICRODATA_SEQ.MS/3200	150	512	4000	0	8	128	30	33
NAS_AS/3000	115	2000	8000	16	1	3	50	46
NAS_AS/3000_N	115	2000	4000	2	1	5	40	29
NAS_AS/5000	92	2000	8000	32	1	6	62	53
NAS_AS/5000_E	92	2000	8000	32	1	6	60	53
NAS_AS/5000_N	92	2000	8000	4	1	6	50	41
NAS_AS/6130	75	4000	16000	16	1	6	66	86
NAS_AS/6150	60	4000	16000	32	1	6	86	95
NAS_AS/6620	60	2000	16000	64	5	8	74	107
NAS_AS/6630	60	4000	16000	64	5	8	93	117
NAS_AS/6650	50	4000	16000	64	5	10	110	119
NAS_AS/7000	72	4000	16000	64	8	16	143	120
NAS_AS/7000_N	72	2000	8000	16	6	8	105	48
NAS_AS/8040	40	8000	16000	32	8	16	214	126
NAS_AS/8050	40	8000	32000	64	8	24	277	266
NAS_AS/8060	35	8000	32000	64	8	24	370	270
NAS_AS/9000_DPC	38	16000	32000	128	16	32	510	426
NAS_AS/9000_N	48	4000	24000	32	8	24	214	151
NAS_AS/9040	38	8000	32000	64	8	24	326	267
NAS_AS/9060	30	16000	32000	256	16	24	510	603
NCR_V8535_II	112	1000	1000	0	1	4	8	19
NCR_V8545_II	84	1000	2000	0	1	6	12	21
NCR_V8555_II	56	1000	4000	0	1	6	17	26
NCR_V8565_II	56	2000	6000	0	1	8	21	35
NCR_V8565_II_E	56	2000	8000	0	1	8	24	41
NCR_V8575_II	56	4000	8000	0	1	8	34	47
NCR_V8585_II	56	4000	12000	0	1	8	42	62
NCR_V8595_II	56	4000	16000	0	1	8	46	78
NCR_V8635_	38	4000	8000	32	16	32	51	80
NCR_V8650	38	4000	8000	32	16	32	116	80
NCR_V8635	38	8000	16000	64	4	8	100	142
NCR_V8665	38	8000	24000	160	4	8	140	281
NCR_V8670	38	4000	16000	128	16	32	212	190
NIXDORF_8890/30	200	1000	2000	0	1	2	25	21
NIXDORF_8890/50	200	1000	4000	0	1	4	30	25
NIXDORF_8890/70	200	2000	8000	64	1	5	41	67
PERKIN-ELMER_3205	250	512	4000	0	1	7	25	24
PERKIN-ELMER_3210	250	512	4000	0	4	7	50	24
PERKIN-ELMER_3230	250	1000	16000	1	1	8	50	64
PRIME_50-2250	160	512	4000	2	1	5	30	25
PRIME_50-250_II	160	512	2000	2	3	8	32	20
PRIME_50-550_II	160	1000	4000	8	1	14	38	29
PRIME_50-750_II	160	1000	8000	16	1	14	60	43
PRIME_50-850_II	160	2000	8000	32	1	13	109	53
SIEMENS_7.521	240	512	1000	8	1	3	6	19
SIEMENS_7.531	240	512	2000	8	1	5	11	22
SIEMENS_7.536	105	2000	4000	8	3	8	22	31
SIEMENS_7.541	105	2000	6000	16	6	16	33	41
SIEMENS_7.551	105	2000	8000	16	4	14	58	47
SIEMENS_7.561	52	4000	16000	32	4	12	130	99
SIEMENS_7.865-2	70	4000	12000	8	6	8	75	67
SIEMENS_7.870-2	59	4000	12000	32	6	12	113	81
SIEMENS_7.872-2	59	8000	16000	64	12	24	188	149
SIEMENS_7.875-2	26	8000	24000	32	8	16	173	183
SIEMENS_7.880-2	26	8000	32000	64	12	16	248	275
SIEMENS_7.881-2	26	8000	32000	128	24	32	405	382
SPERRY_1100/61_H1	116	2000	8000	32	5	28	70	56
SPERRY_1100/81	50	2000	32000	24	6	26	114	182
SPERRY_1100/82	50	2000	32000	48	26	52	208	227
