PERIODO,ANCHURA,ALTURA,MANDIB,NARIZ
1,131,138,89,49
1,125,131,92,48
1,131,132,99,50
1,119,132,96,44
1,136,143,100,54
1,138,137,89,56
1,139,130,108,48
1,125,136,93,48
1,131,134,102,51
1,134,134,99,51
1,129,138,95,50
1,134,121,95,53
1,126,129,109,51
1,132,136,100,50
1,141,140,100,51
1,131,134,97,54
1,135,137,103,50
1,132,133,93,53
1,139,136,96,50
1,132,131,101,49
1,126,133,102,51
1,135,135,103,47
1,134,124,93,53
1,128,134,103,50
1,130,130,104,49
1,138,135,100,55
1,128,132,93,53
1,127,129,106,48
1,131,136,114,54
1,124,138,101,46
2,124,138,101,48
2,133,134,97,48
2,138,134,98,45
2,149,129,104,51
2,126,124,95,45
2,135,136,98,52
2,132,145,100,54
2,133,130,102,48
2,131,134,96,50
2,133,125,94,46
2,133,136,103,53
2,131,139,98,51
2,131,136,99,56
2,138,134,98,49
2,130,136,104,53
2,131,128,98,45
2,138,129,107,53
2,123,131,101,51
2,130,129,105,47
2,134,130,93,54
2,137,136,106,49
2,126,131,100,48
2,135,136,97,52
2,129,126,91,50
2,134,139,101,49
2,131,134,90,53
2,132,130,104,50
2,130,132,93,52
2,135,132,98,54
2,130,128,101,51
3,137,141,96,52
3,129,133,93,47
3,132,138,87,48
3,130,134,106,50
3,134,134,96,45
3,140,133,98,50
3,138,138,95,47
3,136,145,99,55
3,136,131,92,46
3,126,136,95,56
3,137,129,100,53
3,137,139,97,50
3,136,126,101,50
3,137,133,90,49
3,129,142,104,47
3,135,138,102,55
3,129,135,92,50
3,134,125,90,60
3,138,134,96,51
3,136,135,94,53
3,132,130,91,52
3,133,131,100,50
3,138,137,94,51
3,130,127,99,45
3,136,133,91,49
3,134,123,95,52
3,136,137,101,54
3,133,131,96,99
3,138,133,100,55
3,138,133,91,46
4,137,134,107,54
4,141,128,95,53
4,141,130,87,49
4,135,131,99,51
4,133,120,91,46
4,131,135,90,50
4,140,137,94,60
4,139,130,90,48
4,140,134,90,51
4,138,140,100,52
4,132,133,90,53
4,134,134,97,54
4,135,135,99,50
4,133,136,95,52
4,136,130,99,55
4,134,137,93,52
4,131,141,99,55
4,129,135,95,47
4,136,128,93,54
4,131,125,88,48
4,139,130,94,53
4,144,124,86,50
4,141,131,97,53
4,130,131,98,53
4,133,128,92,51
4,138,126,97,54
4,131,142,95,53
4,136,138,94,55
4,132,136,92,52
4,135,130,100,51
5,137,123,91,50
5,136,131,95,49
5,128,126,91,57
5,130,134,92,52
5,138,127,86,47
5,126,138,101,52
5,136,138,97,58
5,126,126,92,45
5,132,132,99,55
5,139,135,92,54
5,143,120,95,51
5,141,136,101,54
5,135,135,95,56
5,137,134,93,53
5,142,135,96,52
5,139,134,95,47
5,138,125,99,51
5,137,135,96,54
5,133,125,92,50
5,145,129,89,47
5,138,136,92,46
5,131,129,97,44
5,143,126,88,54
5,134,124,91,55
5,132,127,97,52
5,137,125,85,55
5,129,128,81,52
5,140,135,103,48
5,147,129,87,48
5,136,133,97,51
