fecha;deman1;deman2;deman3;deman4;deman5;deman6;deman7;deman8;deman9;deman10;deman11;deman12;deman13;deman14;deman15;deman16;deman17;deman18;deman19;deman20;deman21;deman22;deman23;deman24
20230101;19999;19252;18106;17091;16533;16181;16231;16513;16512;16892;18155;19234;19748;20360;20535;19695;19503;20270;22546;23597;24418;24590;23405;21499
20230102;19935;18541;17655;17230;17212;17830;20017;22496;24366;25798;26897;27162;27245;27651;27620;26979;26801;26902;28086;28694;29397;28978;26834;24395
20230103;22791;21190;20144;19670;19565;20219;22760;25884;27878;29567;29648;29287;28901;28830;28320;27666;27732;28539;30218;31101;31530;31057;28498;25863
20230104;23895;22197;21125;20602;20547;21111;23483;26552;28792;30098;30202;29577;29250;29228;28783;27957;28002;28732;30408;31011;31627;31197;28662;26149
20230105;24358;22654;21459;20898;20788;21355;23498;26591;28781;30036;30084;29441;28823;28604;27988;27286;27241;27527;28581;28625;28799;28567;26835;24925
20230106;23217;21625;20246;19509;19017;19027;19449;20459;20915;22102;23135;23341;23149;23229;22885;21872;21770;22811;24950;26114;26757;26981;25835;24011
20230107;22585;21065;19975;19347;19106;19313;20267;21674;22941;24595;25948;26229;26286;26920;27133;26235;25922;26534;28241;29082;29577;29283;27132;25008
20230108;23334;21605;20394;19602;19180;19270;19650;20363;20953;22697;24760;25849;26492;27379;27318;25980;25283;25548;27446;28525;29243;28794;26766;24239
20230109;22358;20916;20008;19643;19634;20534;23746;28297;30813;31107;31055;30544;30298;30310;29910;29482;29465;30077;31658;32857;33464;32576;29432;26485
20230110;24673;22983;22074;21710;21741;22433;25360;29777;32151;32546;32269;31629;31123;30805;30115;29730;29893;30506;32252;33603;34175;33260;30099;27000
20230111;25059;23578;22518;22057;21953;22668;25515;29946;32080;32538;32573;32173;32135;32033;31620;31060;30712;31045;32417;33526;34062;33117;29880;26942
20230112;25355;23862;22814;22241;22331;23005;25816;30200;32536;32510;32448;31759;31220;30951;30309;30059;30271;31334;33209;34064;34673;33649;30457;27399
20230113;25692;24091;23030;22573;22523;23213;25982;30358;32541;32876;32913;32336;31609;31234;30422;29757;29655;30303;32168;33152;33416;32684;30147;27582
20230114;22585;21065;19975;19347;19106;19313;20267;21674;22941;24595;25948;26229;26286;26920;27133;26235;25922;26534;28241;29082;29577;29283;27132;25008
20230115;23742;21991;20745;20099;19818;19718;20094;20785;21568;23323;24972;25456;25429;25846;26027;25060;24602;25015;27285;29018;30085;29568;27816;25293
20230116;23380;22022;21182;20839;20944;21902;25439;30338;33033;33790;34206;33885;33719;33865;33429;33000;32781;33078;34263;35310;35701;34404;30982;27731
20230117;25812;24324;23335;22870;22772;23466;26253;30503;32605;33312;33244;32830;32805;32694;32077;31482;31738;32454;33955;35473;35940;34781;31330;28063
20230118;26286;24669;23480;23154;23127;23886;26855;31537;33957;34460;34267;33562;33546;33640;32987;32328;32369;32766;34760;36278;36810;35470;32088;28845
20230119;26936;25194;24011;23676;23635;24318;27135;31632;34153;34588;34228;33353;33029;33074;32858;32667;32934;33745;35160;36431;36965;35657;32421;29047
20230120;26941;25291;24143;23637;23545;24181;26891;31315;33329;33619;33182;32604;32213;32004;31418;30978;30908;31423;32840;33880;34090;32966;30289;27799
20230121;26406;24632;23257;22537;22122;22099;22635;24100;25641;27654;28720;28474;27982;28050;27851;26998;26636;27061;28739;30479;31100;30816;28804;26706
20230122;24795;22965;21777;21010;20661;20638;21045;21982;22761;24486;25689;25899;25664;26077;26214;25476;25264;26054;28561;30795;31908;31791;29834;27038
20230123;24843;23189;22197;21750;21767;22687;26324;31397;34314;34930;34591;33939;33486;33435;33076;32721;32817;33606;35581;37532;38189;36787;33012;29471
20230124;27362;25467;24305;23739;23715;24495;27533;32516;35437;36176;36278;35985;35776;35838;35365;34742;34688;35283;36978;38597;38833;37505;33805;29719
20230125;27519;25544;24478;23967;23913;24604;27673;32672;35431;36106;35803;34941;34339;34092;33634;33258;33358;33971;35693;37726;38485;37108;33558;29991
20230126;27652;25720;24594;24086;24020;24656;27830;32805;35433;35936;35574;34995;34612;34560;34309;33813;34048;34790;36177;37918;38571;37315;33902;30313
20230127;28012;25970;24679;24193;24146;24763;27942;32873;35357;35522;35011;34093;33445;33194;33008;32706;32846;33398;34853;36702;36989;36025;32998;30000
20230128;27952;25796;24230;23384;22955;22878;23530;25254;26953;29246;30450;30029;29352;29373;29195;28542;28310;28659;30564;32549;33294;32945;30761;28368
20230129;25981;23905;22449;21609;21251;21285;21750;22658;23411;25451;26970;27258;27196;27678;27776;26990;26602;27290;29433;32043;33315;33179;30952;28016
20230130;25369;23619;22669;22286;22381;23282;26884;32101;34903;35597;35376;34406;33881;33561;32996;32424;32523;33464;35186;37042;38019;37034;33418;29798
20230131;27507;25538;24412;23891;23902;24632;27780;32674;35451;35860;35145;34124;33351;33039;32404;31992;32113;32751;34580;37053;38189;37157;33659;29868
20230201;27688;25725;24556;24043;23958;24706;27834;32821;35452;35683;34873;33535;32972;32583;32188;31827;31963;32716;34473;36865;37818;36725;33499;29922
20230202;27713;25710;24480;23929;23964;24617;27773;32644;35236;35520;34690;33333;32670;32321;31973;31484;31458;32058;33778;36165;37149;36334;33177;29648
20230203;27396;25398;24286;23754;23756;24453;27539;32524;34834;35070;34357;33145;32386;31747;31092;30563;30407;30926;32349;34452;35063;34275;31653;29026
20230204;27125;25147;23735;22901;22425;22254;23009;24561;26053;27943;28659;28129;27435;27179;26638;25884;25476;25969;27898;30160;31223;30981;28980;26656
20230205;24540;22725;21416;20705;20318;20307;20837;21794;22345;23940;24948;24951;24651;24814;24851;24055;23791;24391;26672;29717;31048;30862;28717;26072
20230206;23889;22273;21549;21129;21237;22128;25742;30796;33313;33949;33833;33392;33371;33535;32912;32419;32468;32936;34326;36510;37214;35942;32329;28787
20230207;26816;25085;24022;23624;23546;24165;27228;32139;34637;35655;35870;35649;35479;35691;35227;34602;34346;34408;35375;37214;37703;36332;32743;29100
20230208;26968;25034;23930;23582;23531;24294;27409;32093;34443;35284;35226;34880;34711;34918;34667;34313;34096;34126;34886;36947;37625;36325;32777;29238
20230209;27271;25543;24355;23848;23792;24548;27572;32411;34447;34990;34695;34076;33853;33642;32952;32555;32465;32822;33724;36249;37072;35906;32595;29230
20230210;27318;25644;24535;24021;24002;24858;27948;32613;34926;35234;35025;34486;33768;33371;32649;32011;32074;32406;33437;35509;35986;35004;31964;29145
20230211;27180;25221;23821;22963;22613;22604;23318;24825;26352;28640;29834;29777;29125;28904;28419;27565;27158;27299;28647;30932;31939;31658;29458;27218
20230212;25210;23339;22000;21328;21007;20947;21484;22245;22867;24778;26221;26616;26339;26578;26616;25657;25225;25535;27233;30228;31733;31539;29492;26943
20230213;24509;22821;22005;21652;21706;22792;26407;31514;33974;34488;34236;33630;33003;32544;31858;31420;31220;31674;32700;35364;36190;35222;31855;28473
20230214;26315;24712;23735;23266;23245;23969;26927;31709;33682;34364;34241;33699;33336;32954;32318;32017;31809;32050;32841;35269;36249;35119;31833;28373
20230215;26345;24605;23605;23121;23134;23866;26945;31486;33512;33944;33652;32880;32152;31911;31365;30924;30985;31382;32348;34738;35767;34733;31584;28233
20230216;26417;24635;23626;23353;23407;24036;27113;31576;33455;33151;32839;32036;31511;31115;30663;30307;30393;30607;31551;34261;35128;34284;31400;28285
20230217;26256;24576;23473;23116;23080;23786;26779;31217;33024;33444;32851;32026;31375;31031;30294;29579;29457;29911;30874;33138;33608;32586;29972;27443
20230218;25924;24131;22869;22131;21778;21716;22407;23677;24986;26963;28116;27815;27445;27364;26940;25913;25461;25461;26387;28561;29456;29299;27420;25402
20230219;23675;22118;20894;20205;19915;19963;20471;21109;21595;23263;24498;24558;24446;24404;24376;23353;23153;23394;24663;27533;28942;28900;27279;24919
