provincia	padron	padron_muj	padron_hom	hogares	hogares_unip	nacimientos	nacim_madre	hijos	defunciones	esperanza	esperanza_muj	esperanza_hom	matrimonios	edadMatri	edadMatri_muj	edadMatri_hom
Almería	731792	358656	373136	264	60.1	9.5	29.65	1.54	8.66	80.48	83.63	77.57	2.62	38.52	36.79	40.27
Cádiz	1245960	631876	614084	472.1	105.3	7.07	30.42	1.18	9.33	80.66	83.37	78.04	3.62	37.5	36.33	38.72
Córdoba	776789	396316	380473	308.3	77.1	7.43	30.97	1.26	10.73	82.12	85.17	79.09	3.24	36.11	34.88	37.37
Granada	921338	467655	453683	370	100.9	7.62	30.6	1.26	9.46	81.81	84.24	79.37	3.34	37.48	36.21	38.8
Huelva	525835	265254	260581	198.1	46.5	7.95	30.47	1.28	9.34	81.14	84.03	78.33	3.34	38.03	36.35	39.78
Jaén	627190	316867	310323	245.6	60.6	7.21	30.42	1.23	11.13	81.75	84.49	79.06	3.39	35.65	34.48	36.86
Málaga	1695651	865675	829976	649	159.5	7.39	31.02	1.19	8.68	81.79	84.2	79.39	3.09	38.44	36.91	40.04
Sevilla	1947852	996769	951083	736.2	166.4	7.95	31.24	1.3	9.04	81.45	84.37	78.49	3.48	37.33	35.99	38.73
Huesca	224264	110657	113607	88.7	24	7.08	31.58	1.33	11.33	83.75	86.35	81.31	3.87	37.61	36.16	39.18
Teruel	134545	66258	68287	54.1	15	6.89	32.01	1.3	12.69	83.69	86.42	81.19	3.3	36.39	35.22	37.65
Zaragoza	967452	494098	473354	398.4	110.3	7.27	31.83	1.28	10.73	83.1	85.82	80.33	3.09	37.51	36.25	38.82
Asturias	1011792	529127	482665	455.2	139.8	4.74	31.88	0.95	13.25	82.74	85.31	80	3.17	38.23	36.76	39.84
Baleares	1173008	588155	584853	458.4	109.5	7.8	31.26	1.13	7.24	83.32	85.9	80.76	3.52	39.25	37.72	40.85
Las_Palmas	1128539	567258	561281	438.1	106.1	5.96	30.59	0.9	7.49	82.01	84.63	79.45	3.04	40.35	38.89	41.88
Santa_Cruz_de_Tenerife	1044405	531506	512899	414.5	98.5	5.34	30.94	0.82	7.82	82.92	85.41	80.44	2.92	39.79	38.18	41.49
Cantabria	584507	301129	283378	242.4	68.9	5.63	32.17	1.04	10.37	83.67	86.5	80.75	3.53	37.44	36.04	38.92
Ávila	158421	78859	79562	66.3	19.9	5.43	31.84	1.08	12.98	83.51	86.67	80.72	3.47	36.75	35.71	37.81
Burgos	356055	178135	177920	150.2	46.2	5.93	32.16	1.16	11.21	84.53	87.67	81.61	2.95	36.91	35.75	38.15
León	451706	232174	219532	200.1	61.3	5.07	32.46	1	13.71	83.48	86.43	80.59	3.07	37.62	36.28	39.05
Palencia	159123	80282	78841	66.6	19.9	5.32	31.72	1.05	14.4	82.39	85.77	79.3	2.97	37.76	36.61	39.01
Salamanca	327338	168464	158874	142	42.8	5.37	32.16	1.05	12.22	84.74	87.89	81.66	2.71	36.41	35.27	37.61
Segovia	153663	76592	77071	62.3	17.4	6.28	31.82	1.2	10.92	84.04	86.89	81.41	4.08	36.83	35.64	38.06
Soria	88747	43827	44920	37.6	11.6	6	31.98	1.17	13.28	83.68	86.22	81.41	3.61	36.55	35.25	37.97
Valladolid	519361	266518	252843	220.2	62.3	5.83	32.1	1.12	10.28	84.01	86.89	81.1	2.78	37.06	35.82	38.37
Zamora	168725	85174	83551	75.4	23.5	4.2	32.48	0.89	15.42	83.92	86.96	81.13	2.83	37.37	36.3	38.53
Albacete	386464	193259	193205	152	38.3	7.18	31.32	1.24	9.76	83.2	86.01	80.5	2.93	37.08	35.76	38.45
Ciudad_Real	492591	248828	243763	193.7	49.1	7.11	31.18	1.23	11.07	82.39	85.46	79.4	3.44	36.17	34.96	37.43
